OilRate,WaterRate,GasRate,GOR,TBGTemp,TBGPress,DiffPress,Temperature,Pressure
4151,482,4826,1162,208,314,219,185,208
4155,484,5487,1320,208,315,682,182,218
4164,482,5540,1331,208,312,833,181,218
4163,488,5669,1362,208,312,13,115,206
4264,524,5999,1407,208,311,1,100,161
4299,522,6059,1409,208,313,0,77,147
4217,468,5670,1345,208,312,0,77,164
4132,468,5555,1344,208,320,0,77,201
4094,468,5644,1379,209,333,2276,160,232
4160,461,5745,1381,208,311,117,138,207
4185,458,5792,1384,208,313,2844,139,289
4173,459,5821,1395,208,310,93,76,189
4185,443,5751,1374,208,320,3021,138,285
4190,462,5715,1364,208,315,136,110,199
4217,464,5715,1355,208,312,3,79,203
4203,462,5719,1361,208,316,1,78,200
4163,463,5717,1373,208,320,367,91,212
4143,449,5654,1365,208,311,44,127,201
4153,454,5700,1373,208,315,182,130,207
4127,460,5723,1387,208,317,159,132,207
4069,458,5699,1401,208,314,167,130,208
4065,452,5711,1405,208,319,12,79,207
4060,453,5708,1406,209,314,118,133,209
4084,456,5683,1391,208,312,156,132,204
4096,488,5728,1399,208,306,369,95,202
4096,488,5722,1397,208,305,128,71,196
4095,486,5728,1399,208,305,125,70,199
4062,468,5628,1386,208,303,124,70,206
4004,470,5589,1396,208,310,125,70,205
4039,462,5561,1377,208,308,125,78,206
4118,459,5557,1350,208,309,117,71,203
4082,459,5476,1342,208,309,114,72,208
4136,466,5716,1382,209,309,125,71,202
4070,456,5571,1369,209,306,120,68,204
4076,455,5587,1371,208,310,113,71,204
4074,456,5589,1372,208,307,126,71,205
4062,456,5466,1346,208,312,134,72,207
4052,456,5531,1365,209,309,99,73,199
4111,449,4915,1196,208,304,1,79,202
4092,449,4922,1203,208,307,1,80,204
4082,449,4921,1206,208,305,2,80,202
4079,455,4930,1209,209,309,1,79,202
4082,1182,4940,1210,209,305,3,79,202
4068,457,4690,1153,209,305,1,78,204
4054,461,4898,1208,209,305,14,80,206
4065,460,4894,1204,209,305,1,81,207
4032,451,4861,1205,209,310,1,81,208
4054,434,4840,1194,209,304,542,174,216
4038,434,4852,1202,209,307,334,105,214
3795,411,4573,1205,209,306,4904,142,276
4045,438,4864,1203,209,306,53,113,203
4033,437,4895,1214,209,302,99,72,204
4023,444,4724,1174,208,303,11,132,202
3524,365,3271,928,209,309,1,79,212
2620,190,1835,700,Error,Error,1,80,192
3988,463,4549,1141,208,285,12,86,208
4004,474,4996,1248,208,290,63,72,202
4013,443,5035,1255,209,292,88,74,205
